Seating Chart # ,1
Group 1: ,"['ROMEO', 'OSCAR', 'HOTEL', 'INDIA']"
Group 2: ,"['PAPA', 'ECHO', 'YANKEE', 'NOVEMBER', 'XRAY']"
Group 3: ,"['ALPHA', 'TANGO', 'VICTOR', 'GOLF', 'CHARLIE']"
Group 4: ,"['FOXTROT', 'SIERRA', 'KILO', 'DELTA', 'UNIFORM']"
Group 5: ,"['JULIET', 'WHISKEY', 'LIMA', 'QUEBEC']"
Group 6: ,"['BRAVO', 'MIKE', 'ZULU']"
"
"
Seating Chart # ,21
Score = ,24
Group 1: ,"['VICTOR', 'ROMEO', 'ALPHA', 'XRAY', 'GOLF']"
Group 2: ,"['HOTEL', 'WHISKEY', 'PAPA', 'UNIFORM', 'QUEBEC']"
Group 3: ,"['ECHO', 'DELTA', 'LIMA', 'TANGO']"
Group 4: ,"['INDIA', 'KILO', 'BRAVO', 'FOXTROT']"
Group 5: ,"['OSCAR', 'JULIET', 'ZULU', 'SIERRA']"
Group 6: ,"['CHARLIE', 'YANKEE', 'MIKE', 'NOVEMBER']"
"
"
Seating Chart # ,22
Score = ,31
Group 1: ,"['DELTA', 'INDIA', 'UNIFORM', 'KILO', 'YANKEE']"
Group 2: ,"['GOLF', 'CHARLIE', 'PAPA', 'QUEBEC', 'JULIET']"
Group 3: ,"['VICTOR', 'TANGO', 'SIERRA', 'LIMA']"
Group 4: ,"['ROMEO', 'ECHO', 'OSCAR', 'FOXTROT', 'BRAVO']"
Group 5: ,"['ALPHA', 'MIKE', 'NOVEMBER', 'XRAY']"
Group 6: ,"['HOTEL', 'WHISKEY', 'ZULU']"
"
"
Seating Chart # ,23
Score = ,24
Group 1: ,"['JULIET', 'OSCAR', 'VICTOR', 'ROMEO', 'YANKEE']"
Group 2: ,"['INDIA', 'UNIFORM', 'CHARLIE', 'BRAVO']"
Group 3: ,"['KILO', 'SIERRA', 'FOXTROT', 'QUEBEC']"
Group 4: ,"['ECHO', 'PAPA', 'MIKE', 'HOTEL', 'XRAY']"
Group 5: ,"['TANGO', 'ALPHA', 'ZULU', 'LIMA', 'GOLF']"
Group 6: ,"['DELTA', 'NOVEMBER', 'WHISKEY']"
"
"
Seating Chart # ,24
Score = ,23
Group 1: ,"['UNIFORM', 'VICTOR', 'XRAY', 'PAPA']"
Group 2: ,"['DELTA', 'ECHO', 'BRAVO', 'WHISKEY']"
Group 3: ,"['OSCAR', 'HOTEL', 'ZULU', 'SIERRA', 'ROMEO']"
Group 4: ,"['QUEBEC', 'INDIA', 'ALPHA', 'KILO', 'TANGO']"
Group 5: ,"['GOLF', 'LIMA', 'JULIET', 'YANKEE']"
Group 6: ,"['MIKE', 'CHARLIE', 'FOXTROT', 'NOVEMBER']"
"
"
Seating Chart # ,25
Score = ,25
Group 1: ,"['DELTA', 'JULIET', 'UNIFORM', 'KILO', 'YANKEE']"
Group 2: ,"['HOTEL', 'INDIA', 'WHISKEY', 'TANGO']"
Group 3: ,"['CHARLIE', 'GOLF', 'ALPHA', 'QUEBEC', 'ECHO']"
Group 4: ,"['ZULU', 'FOXTROT', 'XRAY', 'SIERRA']"
Group 5: ,"['ROMEO', 'LIMA', 'OSCAR', 'VICTOR']"
Group 6: ,"['BRAVO', 'PAPA', 'NOVEMBER', 'MIKE']"
"
"
Seating Chart # ,26
Score = ,23
Group 1: ,"['QUEBEC', 'CHARLIE', 'MIKE', 'YANKEE', 'INDIA']"
Group 2: ,"['VICTOR', 'JULIET', 'UNIFORM', 'ALPHA', 'KILO']"
Group 3: ,"['TANGO', 'ECHO', 'GOLF', 'FOXTROT', 'WHISKEY']"
Group 4: ,"['HOTEL', 'BRAVO', 'PAPA', 'SIERRA']"
Group 5: ,"['DELTA', 'ROMEO', 'OSCAR']"
Group 6: ,"['XRAY', 'ZULU', 'LIMA', 'NOVEMBER']"
"
"
Seating Chart # ,27
Score = ,23
Group 1: ,"['OSCAR', 'ECHO', 'DELTA', 'INDIA', 'ROMEO']"
Group 2: ,"['ALPHA', 'CHARLIE', 'UNIFORM', 'YANKEE', 'VICTOR']"
Group 3: ,"['GOLF', 'TANGO', 'NOVEMBER', 'KILO']"
Group 4: ,"['PAPA', 'WHISKEY', 'JULIET', 'HOTEL']"
Group 5: ,"['MIKE', 'ZULU', 'LIMA', 'SIERRA']"
Group 6: ,"['BRAVO', 'FOXTROT', 'XRAY', 'QUEBEC']"
"
"
Seating Chart # ,28
Score = ,23
Group 1: ,"['QUEBEC', 'VICTOR', 'BRAVO', 'YANKEE', 'XRAY']"
Group 2: ,"['ROMEO', 'PAPA', 'JULIET', 'GOLF']"
Group 3: ,"['ALPHA', 'LIMA', 'OSCAR', 'KILO']"
Group 4: ,"['WHISKEY', 'HOTEL', 'UNIFORM', 'SIERRA']"
Group 5: ,"['INDIA', 'NOVEMBER', 'CHARLIE', 'ZULU', 'TANGO']"
Group 6: ,"['DELTA', 'FOXTROT', 'MIKE', 'ECHO']"
"
"
Seating Chart # ,29
Score = ,25
Group 1: ,"['WHISKEY', 'DELTA', 'FOXTROT', 'ECHO']"
Group 2: ,"['ALPHA', 'YANKEE', 'CHARLIE', 'VICTOR', 'GOLF']"
Group 3: ,"['INDIA', 'HOTEL', 'SIERRA', 'QUEBEC', 'OSCAR']"
Group 4: ,"['XRAY', 'UNIFORM', 'ROMEO', 'JULIET']"
Group 5: ,"['PAPA', 'MIKE', 'ZULU', 'NOVEMBER']"
Group 6: ,"['TANGO', 'BRAVO', 'KILO', 'LIMA']"
"
"
Seating Chart # ,30
Score = ,23
Group 1: ,"['OSCAR', 'DELTA', 'PAPA', 'YANKEE', 'ROMEO']"
Group 2: ,"['SIERRA', 'VICTOR', 'JULIET', 'BRAVO', 'XRAY']"
Group 3: ,"['FOXTROT', 'CHARLIE', 'ALPHA', 'ZULU']"
Group 4: ,"['ECHO', 'KILO', 'HOTEL', 'WHISKEY']"
Group 5: ,"['NOVEMBER', 'MIKE', 'INDIA', 'TANGO']"
Group 6: ,"['LIMA', 'GOLF', 'QUEBEC', 'UNIFORM']"
"
"
Seating Chart # ,31
Score = ,23
Group 1: ,"['JULIET', 'ROMEO', 'VICTOR', 'XRAY']"
Group 2: ,"['HOTEL', 'INDIA', 'UNIFORM', 'GOLF']"
Group 3: ,"['BRAVO', 'KILO', 'CHARLIE', 'FOXTROT', 'DELTA']"
Group 4: ,"['QUEBEC', 'LIMA', 'OSCAR', 'YANKEE', 'ZULU']"
Group 5: ,"['PAPA', 'ALPHA', 'WHISKEY', 'ECHO']"
Group 6: ,"['MIKE', 'TANGO', 'SIERRA', 'NOVEMBER']"
"
"
Seating Chart # ,32
Score = ,25
Group 1: ,"['ECHO', 'XRAY', 'KILO', 'GOLF', 'INDIA']"
Group 2: ,"['JULIET', 'PAPA', 'VICTOR', 'BRAVO', 'YANKEE']"
Group 3: ,"['UNIFORM', 'SIERRA', 'TANGO', 'CHARLIE', 'OSCAR']"
Group 4: ,"['QUEBEC', 'WHISKEY', 'ZULU', 'FOXTROT']"
Group 5: ,"['HOTEL', 'MIKE', 'ROMEO']"
Group 6: ,"['NOVEMBER', 'LIMA', 'ALPHA', 'DELTA']"
"
"
